"frag","treat","sitename","lineage","hcarb_mgcm2","scarb_mgcm2","prot_mgcm2","sym_cm2","avgtiss","chlA","corallite.avg.poly.mm2"
"I2A6","Initial","SP","L2",-1.52088382759243,-2.84256387214024,-2.5556515971482,13.4242837279126,1.70777381315496,0.496464285745404,2.46228879378642
"I2C6","Initial","SP","L2",-1.78165128199467,-1.83688199308435,-2.39995084443598,12.9493803428715,1.44691898293633,0.412838382908149,2.6969900026581
"I2D6","Initial","SP","L3",-1.73130057107701,-2.17742020393692,-2.36203189959425,13.6217851578218,1.27629346590556,1.78498411875541,2.92846186649084
"I2E6","Initial","SP","L2",-1.80182242786096,-4.58971280834184,-3.30595846107075,12.5714707357083,1.66770682055808,-0.271570088187824,2.50795655235335
"I2F6","Initial","SP","L2",-1.55967314686725,-2.82525455220778,-3.35117553320804,13.5010901467097,1.36948724280351,0.815937293806048,2.8905697014934
"I2G6","Initial","SP","L2",-1.64809453078778,-3.0831707573549,-2.2411910431066,13.1031066846176,1.43110837690968,0.238714668714907,2.72852677510889
"I2H6","Initial","SP","L3",-2.35409850304685,-2.72293130797566,-3.22282263738323,13.4101515424734,1.1314021114911,1.08875964692588,2.64715857878293
"I2I6","Initial","SP","L3",-2.2262820695769,-3.87359175952378,-3.30622837118914,11.8062743702555,1.29015050056699,-0.864054350833004,2.94035060882305
"I3A8","Initial","CI","L1",-1.30548338769471,-1.76224288941281,-1.59299233802893,13.1456549934419,1.4028236630711,2.16575388356448,2.14061716977641
"I3C6","Initial","CI","L2",-2.6783880418538,-3.79070679006832,-4.05270084931716,13.0064789433997,1.5114575040739,0.76390026028434,2.68142512554785
"I3F6","Initial","CI","L1",-1.55483341308952,-1.84359338660245,-1.00509860536377,14.9400323736832,1.43904492650542,2.63235805137775,1.86045550557578
"I3G6","Initial","CI","L2",-1.05947257719537,-2.71971972228591,-1.63357540480912,13.0128603330823,1.57208212589033,0.663490933656847,2.55138801981127
"I3H6","Initial","CI","L1",-1.36938002710119,-2.46849332178589,-2.54618072432708,13.8567375342654,1.54044504094715,1.47640814760216,1.71118966783462
"I3I6","Initial","CI","L1",-1.06940888503977,-1.42162388965027,-1.90423748284062,14.4771758926513,1.71978596960297,1.97550485193822,2.26314534051258
"I4A6","Initial","PD","L1",-1.48204214632415,-2.39908678672387,-2.81223147742179,13.3273521224833,1.36524095192206,1.32683098952674,2.1434355417302
"I4B6","Initial","PD","L2",-1.46280982401141,-1.93639673518574,-2.498531612955,13.7527204899006,1.23353160656748,1.47908450342123,2.57673816222683
"I4C12","Initial","PD","L2",-1.64340714629651,-2.47568427044646,-2.72053059526807,14.1065549827816,1.75498021772476,1.75533711022804,2.75257042108932
"I4E8","Initial","PD","L2",-1.54364076151016,-3.45753466235466,-2.66201772320789,14.0057685422693,1.6094379124341,0.760428587965467,2.70029763794513
"I4F6","Initial","PD","L2",-1.45798997215642,-2.30620814510425,-3.00230748701327,14.0508708058109,1.30381813929565,1.66698659234636,2.6782007739755
"I4H12","Initial","PD","L2",-1.6713460635587,-2.46809174914918,-2.82917200672075,12.7095606851205,1.64544834995713,1.80300668618572,2.70658494454255
"I4I6","Initial","PD","L2",-2.43408152649293,-2.92416263113368,-2.74981046874485,12.7842850670829,1.01160091167848,0.575962979874501,2.22474524072946
"O2A6","Initial","BS","L1",-1.98132736578106,-2.46745841074994,-2.47217499385159,14.4737991281211,1.70777381315496,1.9211106656758,2.22121600478271
"O2B13","Initial","BS","L1",-1.48736991523277,-2.01265899581083,-1.46542574003396,14.1873647423846,1.62924053973028,2.40540045984617,2.42533295925765
"O2C6","Initial","BS","L1",-2.3414819029203,-3.3677901830948,-2.10122865143745,13.5371777629601,1.67084654056274,1.0242260865765,2.3260824455035
"O2D6","Initial","BS","L1",-2.11450211375476,-2.57099252577608,-2.17571577286058,14.1975128330535,1.9387416595767,1.92270075307709,2.20225591431105
"O2E6","Initial","BS","L1",-1.91782987049187,-2.52829972227662,-2.64092210808328,13.5841062327005,1.67709656090792,1.31309985751341,2.26884749192331
"O2F6","Initial","BS","L1",-0.803248870131637,-2.42286892388396,-2.57288032067044,13.9274208813669,1.88200634707583,1.58521383075235,2.25898849083361
"O2G6","Initial","BS","L2",-1.2354594082841,-2.56897849447932,-2.27351700905207,12.9906465954943,1.5993875765806,0.789998101509178,2.60550760219576
"O2H6","Initial","BS","L1",-0.999467795333822,-2.14094049913545,-3.15070560811313,14.3716358104975,1.71079040669439,1.74400580682275,2.08770667218471
"O2I6","Initial","BS","L1",-1.13844842948208,-2.55604436615056,-1.68676768704438,14.1257168237926,1.73460105538811,1.70519954294578,1.98061513976956
"O3B6","Initial","CA","L1",-0.922852356730834,-1.83168812742206,-1.36190430571999,14.7299615261675,1.7404661748405,2.50739339092617,2.07740654137727
"O3C6","Initial","CA","L1",-1.52053028045405,-3.02954148820035,-2.54374041938888,13.7718738286175,1.23837423104327,1.12152912330957,2.12406692640561
"O3D8","Initial","CA","L1",-0.75492230840251,-1.92608829610511,-2.28807373636244,14.7161502328853,1.73753791506142,2.75376117475485,2.12398074628137
"O3E6","Initial","CA","L1",-0.995938479685802,-1.41889816469894,-1.18007147432434,14.1199325020425,1.60609901116859,2.73352909853906,2.20614400950092
"O3F6","Initial","CA","L1",-1.74466672556565,-2.87905437007988,-2.78225540169936,13.7026163419705,1.41504377440588,1.44385758080514,2.14392726358066
"O3G6","Initial","CA","L1",-1.17048755241718,-2.06246744953297,-1.25443575291191,14.7638586069293,1.74919985480926,2.66635914829468,2.01194660382998
"O3H6","Initial","CA","L1",-1.34612361957047,-2.61462396242788,-1.51287493197313,14.5269161631408,1.52967294396524,2.41780193286524,2.07583155607911
"O3I6","Initial","CA","L1",-1.19505285944541,-1.99372425580117,-1.63176052304195,13.7000076718047,1.54756250871601,2.65174127015807,2.08883042757276
"O4A6","Initial","BN","L1",-1.22995115453077,-1.84882761839802,-1.05397409085517,14.1161668569192,1.81373837594683,2.33023782471697,1.91809245452427
"O4C10","Initial","BN","L1",-1.2663172139395,-2.42419411959744,-1.65577272345451,14.2949767525877,1.6325031853651,2.12714231496379,2.28144646015512
"O4D6","Initial","BN","L1",-1.08086455450046,-1.75934752667231,-1.22069679134103,14.4434854432236,1.58923520511658,2.11261858732019,2.08481922281717
"O4E6","Initial","BN","L1",-1.33805771801428,-1.66857410672099,-2.0724409333851,14.1662360970975,1.84582669049833,1.85417207632025,2.0035093290514
"O4F6","Initial","BN","L1",-1.40165749859539,-2.23828714159723,-2.12935330981126,14.3663884170184,1.61938824328727,-2.5590131237768,2.17880469287729
"O4G6","Initial","BN","L1",-1.38271756166654,-2.17880012339841,-1.53770547714364,14.9536531041137,1.60609901116859,2.60181391092534,2.29698379796418
"O4H12","Initial","BN","L1",-1.02469975608542,-2.09256204426972,-2.34209709060923,15.2114346809504,1.68948062010764,2.70836278124742,2.44182965963228
